"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Pt1G01040",380.452241605674,-0.287644178330257,0.078529452145963,-3.66288278435474,0.000249392676900906,0.0309781332236196
"2","Pt1G01070",225.830620018349,-0.716064964875546,0.174044638043362,-4.11426041575118,3.88422742453321e-05,0.00924744644707008
"3","Pt1G01340",44.8551173539401,-0.902572833818742,0.181962031138241,-4.96022619759082,7.04111416726409e-07,0.000306112438421806
"4","Pt1G04990",6.87272241494624,-1.14533458827078,0.324590205073563,-3.5285556075582,0.000417834150001866,0.0427419756972497
"5","Pt1G05020",203.199225710932,-0.376473973278263,0.101357015174616,-3.71433563458515,0.000203738240552015,0.0272539077169196
"6","Pt1G05120",766.61930947925,-2.00048433757755,0.461704995015646,-4.3328193525603,1.47211898657074e-05,0.00426669152941085
"7","Pt1G05390",4.23018757236597,-1.74481826194941,0.487821509901411,-3.5767554864525,0.000347885297999103,0.0383356304373476
"8","Pt1G17840",22.7163854423222,-0.884209528707083,0.220677290216703,-4.00679892271107,6.15472172709776e-05,0.010703061083423
"9","Pt1G17940",340.128403518525,0.394079339995176,0.0970078691150179,4.06234405095461,4.85824027910367e-05,0.00938719982817919
"10","Pt1G20100",1207.1572404959,-0.370989755687025,0.0906350739249253,-4.09322505760102,4.25414442648422e-05,0.00924744644707008
"11","Pt1G27830",7.67338319358732,-26.0742809409564,3.4685542140539,-7.51733412016701,5.59044193356636e-14,9.7217785224719e-11
"12","Pt1G30800",66.9698070168284,-0.972301988149514,0.201760253489699,-4.81909578984125,1.4421030691247e-06,0.000501563447441571
"13","Pt1G56360",30.4650188448301,0.689826589126065,0.174661292619413,3.9495103853903,7.83112133227072e-05,0.011348599997349
"14","Pt1G65140",4.79851284688627,-2.21369034301557,0.426230118825658,-5.19365067188281,2.06209905862457e-07,0.000119533008764938
"15","Pt1G67530",582.833358330403,0.336094300058724,0.0940610992887948,3.57314875756255,0.000352714253592617,0.0383356304373476
"16","Pt1G69580",2.68799879130689,-1.66814105718714,0.421040725542212,-3.96194704215114,7.43410318822014e-05,0.011348599997349
"17","Pt1G72030",12.468942463791,1.47122177194334,0.271587935072176,5.41711019509152,6.05700132882227e-08,5.26656265541096e-05
