"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","signif"
"Pt1G07820",130.601733627139,2.25570615995937,0.542853996927601,4.15527226975581,3.24900410856272e-05,0.00547186441950438,"Up"
"Pt1G39580",3.13443084661378,2.71216614319025,0.583426875533595,4.64868222038921,3.34062422183534e-06,0.00112523359205487,"Up"
"Pt1G39610",12.3292538538234,1.73423473550506,0.363472426977013,4.77129654628447,1.83043813712395e-06,0.000870782590939736,"Up"
"Pt1G01980",18.8157331357787,-2.07465943368135,0.46723917954844,-4.4402514268739,8.9853837576981e-06,0.00198027047440789,"Down"
"Pt1G05120",1851.03297220834,-1.58031385251011,0.420243844082201,-3.76046877250866,0.000169595246014134,0.017298075491361,"Down"
"Pt1G05390",3.84512007748213,-2.63667163003637,0.621158191307058,-4.24476673886924,2.18820930143315e-05,0.00402033727108763,"Down"
"Pt1G16290",3.56195293987995,-1.52722529904122,0.378509120772439,-4.03484411663462,5.46385597099624e-05,0.00788746636955957,"Down"
"Pt1G17840",8.38796060275073,-1.47536291252602,0.332568933457417,-4.43626197188059,9.15344441484603e-06,0.00198027047440789,"Down"
"Pt1G22500",3.2564209927506,-3.25800054784601,0.708287067946402,-4.59983062699735,4.22834591666321e-06,0.00122078387108233,"Down"
"Pt1G22740",30.7419230825473,-2.25919965750054,0.510949239141039,-4.42157358194427,9.79846845328e-06,0.00198027047440789,"Down"
"Pt1G27830",11.0655014248343,-23.8365303033908,3.46847459634872,-6.87233815363206,6.31580191354225e-12,1.27642356672689e-08,"Down"
"Pt1G36850",7.2282585172276,-2.42775832437103,0.512360416371398,-4.7383799505136,2.15433594987565e-06,0.000870782590939736,"Down"
"Pt1G40610",1.26748697442774,-2.43566249752666,0.684264177337068,-3.55953530550943,0.000371511588469359,0.031284371679024,"Down"
"Pt1G49790",2.04634594913767,-1.78023844214904,0.481058480571468,-3.70066949040006,0.00021503139824679,0.0188947154720331,"Down"
"Pt1G62270",18.8740027100158,-1.6032566092054,0.477142144165716,-3.36012366295729,0.000779075919142428,0.049203513518339,"Down"
"Pt1G63370",4.90500019856834,-1.04420087592303,0.297516996428391,-3.50971839746425,0.000448581499267962,0.0356716063552232,"Down"
"Pt1G73520",1.80490787059778,-2.27313559407213,0.673295136899502,-3.37613547090186,0.000735117134543233,0.0479248944810282,"Down"
