"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Pt1G01980",18.8157331357787,-2.07465943368135,0.46723917954844,-4.4402514268739,8.9853837576981e-06,0.00198027047440789
"2","Pt1G05120",1851.03297220834,-1.58031385251011,0.420243844082201,-3.76046877250866,0.000169595246014134,0.017298075491361
"3","Pt1G05390",3.84512007748213,-2.63667163003637,0.621158191307058,-4.24476673886924,2.18820930143315e-05,0.00402033727108763
"4","Pt1G05760",334.934478660149,0.612369323359185,0.165040994180355,3.71040738333165,0.000206925990707082,0.0188947154720331
"5","Pt1G07820",130.601733627139,2.25570615995937,0.542853996927601,4.15527226975581,3.24900410856272e-05,0.00547186441950438
"6","Pt1G10100",376.888902238943,0.415902634006933,0.104196641878016,3.99151667952827,6.56520698946756e-05,0.00884552221714263
"7","Pt1G14100",17.1220044350186,0.920296383166814,0.232000084658384,3.9667933075194,7.2846114014837e-05,0.0092013747764991
"8","Pt1G16290",3.56195293987995,-1.52722529904122,0.378509120772439,-4.03484411663462,5.46385597099624e-05,0.00788746636955957
"9","Pt1G17840",8.38796060275073,-1.47536291252602,0.332568933457417,-4.43626197188059,9.15344441484603e-06,0.00198027047440789
"10","Pt1G17940",343.770984974458,0.305319884423516,0.0878591540152574,3.4751061269096,0.000510651283380682,0.0382231942115688
"11","Pt1G19670",22.9027322711251,0.649118074087797,0.174799346122408,3.71350401753355,0.000204409218396742,0.0188947154720331
"12","Pt1G22500",3.2564209927506,-3.25800054784601,0.708287067946402,-4.59983062699735,4.22834591666321e-06,0.00122078387108233
"13","Pt1G22740",30.7419230825473,-2.25919965750054,0.510949239141039,-4.42157358194427,9.79846845328e-06,0.00198027047440789
"14","Pt1G23560",21406.8342778957,0.503866623605832,0.105664527380127,4.76855039338962,1.85556260208839e-06,0.000870782590939736
"15","Pt1G27830",11.0655014248343,-23.8365303033908,3.46847459634872,-6.87233815363206,6.31580191354225e-12,1.27642356672689e-08
"16","Pt1G30160",29.0957318179991,-0.68560622253321,0.201156899747868,-3.40831571471103,0.000653652196971701,0.0455527962096485
"17","Pt1G33840",67.6274183927674,-0.922530960460489,0.228489680694725,-4.03751695768285,5.40199410266627e-05,0.00788746636955957
"18","Pt1G35990",437.231048692314,0.802479659045701,0.163070254924007,4.92106705431759,8.60736317615408e-07,0.00086977404895037
"19","Pt1G36850",7.2282585172276,-2.42775832437103,0.512360416371398,-4.7383799505136,2.15433594987565e-06,0.000870782590939736
"20","Pt1G39570",226.806354337844,0.721285497932051,0.210710113551817,3.42311759874154,0.000619072883183685,0.0446837963183653
"21","Pt1G39580",3.13443084661378,2.71216614319025,0.583426875533595,4.64868222038921,3.34062422183534e-06,0.00112523359205487
"22","Pt1G39610",12.3292538538234,1.73423473550506,0.363472426977013,4.77129654628447,1.83043813712395e-06,0.000870782590939736
"23","Pt1G40610",1.26748697442774,-2.43566249752666,0.684264177337068,-3.55953530550943,0.000371511588469359,0.031284371679024
"24","Pt1G49100",462.617802612847,0.338410097368156,0.0965876190540387,3.50365917166695,0.000458912303431867,0.0356716063552232
"25","Pt1G49270",83.7660976307528,-0.709122817238871,0.179800142230655,-3.94395025744295,8.01502901252363e-05,0.00952845507900603
"26","Pt1G49790",2.04634594913767,-1.78023844214904,0.481058480571468,-3.70066949040006,0.00021503139824679,0.0188947154720331
"27","Pt1G51840",145.311110407084,0.3706410296789,0.094847361657444,3.90776320186456,9.31545380618892e-05,0.0104591845235043
"28","Pt1G62270",18.8740027100158,-1.6032566092054,0.477142144165716,-3.36012366295729,0.000779075919142428,0.049203513518339
"29","Pt1G63190",813.728227405823,0.505727121953152,0.149429109230755,3.38439494524583,0.000713353116224017,0.0479248944810282
"30","Pt1G63370",4.90500019856834,-1.04420087592303,0.297516996428391,-3.50971839746425,0.000448581499267962,0.0356716063552232
"31","Pt1G73520",1.80490787059778,-2.27313559407213,0.673295136899502,-3.37613547090186,0.000735117134543233,0.0479248944810282
"32","Pt1G79610",891.435354437267,0.329307886676921,0.0876253072735569,3.75813674066621,0.000171183329949144,0.017298075491361
